statement_number,measure_type,point,measure_id,measure,numerator,denominator
1,structure,a,QS77-1-structure-a,"Evidence of local arrangements to ensure that women first presenting with urinary incontinence have a physical examination, recording of the type and duration of symptoms, and categorisation of urinary incontinence.",NA,NA
1,process,a,QS77-1-process-a,"Proportion of women first presenting with urinary incontinence who receive a physical examination, recording of the type and duration of symptoms, and categorisation of urinary incontinence.","The number in the denominator who receive a physical examination, recording of type and duration of symptoms, and categorisation of urinary incontinence.",The number of women first presenting with urinary incontinence.
2,structure,a,QS77-2-structure-a,Evidence of local arrangements to ensure that women first presenting with symptoms of urinary incontinence are asked to complete a bladder diary for a minimum of 3 days.,NA,NA
2,structure,b,QS77-2-structure-b,Evidence of local arrangements to ensure that women first presenting with urinary incontinence are given lifestyle advice.,NA,NA
2,process,a,QS77-2-process-a,Proportion of women first presenting with urinary incontinence who are asked to complete a bladder diary for a minimum of 3 days.,The number in the denominator who are asked to complete a bladder diary for a minimum of 3 days.,The number of women first presenting with urinary incontinence.
2,process,b,QS77-2-process-b,Proportion of women first presenting with urinary incontinence who are given advice about lifestyle changes.,The number in the denominator who are given advice about lifestyle changes.,The number of women first presenting with urinary incontinence.
3,structure,a,QS77-3-structure-a,Term management if treatment is unsuccessful.,NA,NA
3,process,a,QS77-3-process-a,Term management if treatment is unsuccessful.,Term management if treatment is unsuccessful.,The number of women with urinary incontinence who are offered containment products.
4,structure,a,QS77-4-structure-a,Line treatment for women with stress or mixed urinary incontinence.,NA,NA
4,process,a,QS77-4-process-a,Line treatment.,Line treatment.,The number of women with stress or mixed urinary incontinence.
5,structure,a,QS77-5-structure-a,Line treatment.,NA,NA
5,process,a,QS77-5-process-a,Line treatment.,Line treatment.,Line treatment for urgency or mixed urinary incontinence.
6,structure,a,QS77-6-structure-a,Term treatment with indwelling urethral catheters only if they have had assessment and discussion about the practicalities and potential urological complications.,NA,NA
6,process,a,QS77-6-process-a,Term use of indwelling urethral catheters.,Term use of indwelling urethral catheters before the fitting of the indwelling urethral catheter.,Term use.
7,structure,a,QS77-7-structure-a,Evidence of local arrangements to ensure that a local multidisciplinary team reviews the treatment options before surgery or other invasive treatment for women with overactive bladder or stress urinary incontinence.,NA,NA
7,process,a,QS77-7-process-a,Proportion of women with overactive bladder or stress urinary incontinence who have a local multidisciplinary team review before surgery or other invasive treatment.,The number in the denominator who had a local multidisciplinary team review before surgery or other invasive treatment.,The number of women with overactive bladder or stress urinary incontinence who have surgery or other invasive treatment.
