statement_number,measure_type,point,measure_id,measure,numerator,denominator
1,structure,a,QS158-1-structure-a,Evidence of local systems to flag when adults in critical care are at risk of morbidity.,NA,NA
1,structure,b,QS158-1-structure-b,Evidence of local arrangements to ensure that adults in critical care at risk of morbidity have rehabilitation goals agreed and documented.,NA,NA
1,process,a,QS158-1-process-a,"Proportion of adults in critical care at risk of morbidity who have their rehabilitation goals agreed within 4 days of being admitted to critical care or before discharge from critical care, whichever is sooner.","The number in the denominator who have their rehabilitation goals agreed within 4 days of being admitted to critical care or before discharge from critical care, whichever is sooner.",The number of adults in critical care who are at risk of morbidity.
1,outcome,a,QS158-1-outcome-a,Levels of satisfaction with involvement in their own care among adults in critical care.,NA,NA
2,structure,a,QS158-2-structure-a,Evidence of formal handover processes between team discharging adults at risk of morbidity from critical care and team admitting them to a general ward.,NA,NA
2,structure,b,QS158-2-structure-b,Evidence of local arrangements to ensure that the structured rehabilitation programme is included in the formal handover between the critical care team and the team admitting adults to a general ward.,NA,NA
2,process,a,QS158-2-process-a,Proportion of adults at risk of morbidity who have a formal handover of care when transferring from critical care to a general ward.,The number in the denominator who have a formal handover of care.,The number of adults at risk of morbidity transferring from critical care to a general ward.
2,process,b,QS158-2-process-b,"Proportion of adults at risk of morbidity transferring from critical care to a general ward whose formal handover of care includes their individualised, structured rehabilitation programme.","The number in the denominator whose handover of care includes their individualised, structured rehabilitation programme.",The number of adults at risk of morbidity transferring from critical care to a general ward who have a formal handover of care.
2,outcome,a,QS158-2-outcome-a,Level of satisfaction with continuity of care for adults who are discharged from critical care to a general ward.,NA,NA
3,structure,a,QS158-3-structure-a,Evidence of local arrangements to provide adults who are discharged from hospital after a critical care stay with information relevant to their individual needs and rehabilitation goals.,NA,NA
3,process,a,QS158-3-process-a,Proportion of adults who were in critical care and at risk of morbidity who are given information on hospital discharge based on the rehabilitation goals agreed during their hospital stay.,The number in the denominator who are given information based on the rehabilitation goals agreed during their hospital stay.,The number of adults who were in critical care and at risk of morbidity discharged from hospital.
3,outcome,a,QS158-3-outcome-a,Levels of satisfaction with information that was relevant to recovery at home among adults who were discharged from hospital following a critical care stay.,NA,NA
4,structure,a,QS158-4-structure-a,Up arrangements for adults who had a critical care stay of more than 4 days and were at risk of morbidity.,NA,NA
4,process,a,QS158-4-process-a,"Proportion of adults who were in critical care for more than 4 days and at risk of morbidity, who have a review between 2 and 3 months after discharge from critical care.",The number in the denominator who have a review between 2 and 3 months after discharge from critical care.,"The number of adults who were in critical care for more than 4 days and at risk of morbidity, who have been discharged from critical care."
4,outcome,a,QS158-4-outcome-a,Number of physical problems identified within 3 months of discharge from critical care.,NA,NA
4,outcome,b,QS158-4-outcome-b,Physical problems identified within 3 months of discharge from critical care.,NA,NA
4,outcome,c,QS158-4-outcome-c,Levels of satisfaction with support received to manage rehabilitation needs among adults discharged from critical care.,NA,NA
