statement_number,measure_type,point,measure_id,measure,numerator,denominator
1,structure,a,QS91-1-structure-a,Evidence of local arrangements to ensure that people with prostate cancer have a discussion about treatment options and adverse effects with a named nurse specialist.,NA,NA
1,process,a,QS91-1-process-a,Proportion of people with prostate cancer who have a recorded discussion about treatment options and adverse effects with a named nurse specialist.,The number in the denominator who have a recorded discussion about treatment options and adverse effects with a named nurse specialist.,The number of people with prostate cancer.
1,outcome,a,QS91-1-outcome-a,Rates of people with prostate cancer satisfied with the discussion about treatment options and adverse effects.,NA,NA
2,structure,a,QS91-2-structure-a,Evidence of local arrangements to ensure that people with CPG 1 localised prostate cancer for whom radical treatment is suitable are offered active surveillance.,NA,NA
2,process,a,QS91-2-process-a,Proportion of people with CPG 1 localised prostate cancer for whom radical treatment is suitable on active surveillance.,The number in the denominator who are on active surveillance.,The number of people with CPG 1 localised prostate cancer for whom radical treatment is suitable.
2,outcome,a,QS91-2-outcome-a,Rates of people with CPG 1 localised prostate cancer satisfied with their chosen treatment option.,NA,NA
3,structure,a,QS91-3-structure-a,"Evidence of local arrangements to ensure that people with CPG 2, 3, 4 and 5 localised or locally advanced prostate cancer who are offered non‑surgical radical treatment are offered radical radiotherapy and androgen deprivation therapy in combination.",NA,NA
3,process,a,QS91-3-process-a,"Proportion of people with CPG 2, 3, 4 and 5 localised or locally advanced prostate cancer receiving non‑surgical radical treatment, who receive radical radiotherapy and androgen deprivation therapy in combination.",The number in the denominator who received radical radiotherapy and androgen deprivation therapy in combination.,"The number of people with CPG 2, 3, 4 and 5 localised or locally advanced prostate cancer receiving non‑surgical radical treatment."
4,structure,a,QS91-4-structure-a,Evidence of local pathways that allow people with adverse effects of prostate cancer treatment to be referred to specialist services.,NA,NA
4,process,a,QS91-4-process-a,Proportion of people with adverse effects of prostate cancer treatment referred to specialist services.,The number in the denominator referred to specialist services.,The number of people with adverse effects of prostate cancer treatment.
5,structure,a,QS91-5-structure-a,Evidence of local arrangements to ensure that people with hormone‑relapsed metastatic disease have their treatment options discussed by the urological cancer MDT.,NA,NA
5,process,a,QS91-5-process-a,Proportion of people with hormone‑relapsed metastatic disease who have their treatment options discussed by the urological cancer MDT.,The number in the denominator who have their treatment options discussed by the urological cancer MDT.,The number of people with hormone‑relapsed metastatic prostate cancer.
