statement_number,measure_type,point,measure_id,measure,numerator,denominator
1,structure,a,QS95-1-structure-a,Evidence of practice arrangements and written clinical protocols to ensure that adults presenting with symptoms of depression are referred for a specialist mental health assessment if they have experienced overactivity or disinhibited behaviour lasting 4 days or more.,NA,NA
1,process,a,QS95-1-process-a,Proportion of adults presenting in primary care with symptoms of depression who are asked if they have experienced overactivity or disinhibited behaviour lasting 4 days or more.,The number in the denominator asked if they have experienced overactivity or disinhibited behaviour lasting 4 days or more.,The number of adults presenting in primary care with symptoms of depression.
1,process,b,QS95-1-process-b,Proportion of adults presenting in primary care with symptoms of depression who have experienced overactivity or disinhibited behaviour lasting 4 days or more who were referred for a specialist mental health assessment.,The number in the denominator referred for a specialist mental health assessment.,The number of adults presenting in primary care with symptoms of depression who have experienced overactivity or disinhibited behaviour lasting 4 days or more.
1,outcome,a,QS95-1-outcome-a,Referral rates for specialist mental health assessment.,NA,NA
1,outcome,b,QS95-1-outcome-b,Recognition of bipolar disorder within the community.,NA,NA
2,structure,a,QS95-2-structure-a,"Evidence of practice arrangements and written clinical protocols to ensure that care plans specify early warning symptoms and triggers of mania and depression relapse, preferred response during relapse and personal recovery goals.",NA,NA
2,process,a,QS95-2-process-a,Proportion of adults with bipolar disorder who have a care plan that specifies early warning symptoms of mania and depression relapse.,The number in the denominator who have a care plan that specifies early warning symptoms of mania and depression relapse.,The number of adults with bipolar disorder who have a care plan.
2,process,b,QS95-2-process-b,Proportion of adults with bipolar disorder who have a care plan that specifies triggers of mania and depression relapse.,The number in the denominator who have a care plan that specifies triggers of mania and depression relapse.,The number of adults with bipolar disorder who have a care plan.
2,process,c,QS95-2-process-c,Proportion of adults with bipolar disorder who have a care plan that specifies preferred response during mania and depression relapse.,The number in the denominator who have a care plan that specifies preferred response during mania and depression relapse.,The number of adults with bipolar disorder who have a care plan.
2,process,d,QS95-2-process-d,Proportion of adults with bipolar disorder who have a care plan that specifies personal recovery goals.,The number in the denominator who have a care plan that specifies personal recovery goals.,The number of adults with bipolar disorder who have a care plan.
2,outcome,a,QS95-2-outcome-a,Adults with bipolar disorder who feel enabled to self‑manage their condition.,NA,NA
2,outcome,b,QS95-2-outcome-b,Health‑related quality of life for adults with a long‑term mental health condition.,NA,NA
2,outcome,c,QS95-2-outcome-c,Frequency of relapse rates among adults with bipolar disorder.,NA,NA
3,structure,a,QS95-3-structure-a,"Evidence of local arrangements to ensure that carers are involved in care planning, decision‑making and information sharing about the adult with bipolar disorder as agreed in the care plan.",NA,NA
3,process,a,QS95-3-process-a,Proportion of adults with bipolar disorder whose care plan includes statements on information sharing with carers.,The number in the denominator whose care plan includes statements on information sharing with carers.,The number of adults with bipolar disorder with an identified carer.
3,process,b,QS95-3-process-b,Proportion of adults with bipolar disorder whose care plan includes statements on decision‑making by carers.,The number in the denominator whose care plan includes statements on decision‑making by carers.,The number of adults with bipolar disorder with an identified carer.
3,outcome,a,QS95-3-outcome-a,Carers' satisfaction with services.,NA,NA
4,structure,a,QS95-4-structure-a,Evidence of local arrangements for the provision of psychological intervention programmes.,NA,NA
4,structure,b,QS95-4-structure-b,Evidence of practice arrangements and written clinical protocols to ensure that adults with bipolar disorder are offered psychological interventions.,NA,NA
4,process,a,QS95-4-process-a,Proportion of adults with bipolar disorder who receive a psychological intervention.,The number in the denominator who receive a psychological intervention.,The number of adults with bipolar disorder.
4,outcome,a,QS95-4-outcome-a,Relapse rates for adults with bipolar disorder.,NA,NA
4,outcome,b,QS95-4-outcome-b,Hospital admission rates for adults with bipolar disorder.,NA,NA
5,structure,a,QS95-5-structure-a,Evidence of practice arrangements and written clinical protocols to ensure that adults with bipolar disorder who are prescribed lithium have their dosage adjusted if their plasma lithium levels are outside the optimum range.,NA,NA
5,process,a,QS95-5-process-a,Proportion of adults with bipolar disorder prescribed lithium who had their dosage adjusted if their plasma lithium levels were outside the optimum range.,The number in the denominator who had their dosage adjusted if their plasma lithium levels were outside the optimum range.,The number of adults with bipolar disorder prescribed lithium.
5,outcome,a,QS95-5-outcome-a,Adults with bipolar disorder prescribed lithium who have their plasma lithium levels maintained within the optimum range.,NA,NA
5,outcome,b,QS95-5-outcome-b,Kidney function among adults with bipolar disorder prescribed lithium.,NA,NA
5,outcome,c,QS95-5-outcome-c,Thyroid function among adults with bipolar disorder prescribed lithium.,NA,NA
6,error,NA,QS95-6-error,NA,NA,NA
7,structure,a,QS95-7-structure-a,Evidence of local arrangements to ensure that adults with bipolar disorder receive a physical health assessment at least annually.,NA,NA
